account_name,opportunity_name,num_free_users,num_self_serve_users,num_users_with_dept_match
Abo Akademi University,CS FY27 Renewal: Abo Akademi University - Faculty of Science and Technology,54,10,0
Academic Health Center (University of Cincinnati),CS FY27 Renewal:  Academic Health Center,247,72,158
Acibadem Universitesi,CS FY27 Renewal: Acibadem Universitesi - Library,66,4,10
Africa Health Research Institute,CS FY27 Renewal:   Africa Health Research Institute,89,32,18
Amity University,"CS FY27 Renewal: Amity Institute of Biotechnology, Amity University Haryana (Amity University)",267,0,86
"Anatomy, Physiology and Pharmacology (University of Saskatchewan)","CS FY28 Renewal:   University of Saskatchewan - Dept of Anatomy, Physiology and Pharmacology",962,254,214
Berry College,CS FY27 Renewal: Berry College - College of Math & Science,4,0,0
Biochemistry (State University of New York at Buffalo),CS FY28 Renewal:    University at Buffalo - Department of Biochemistry,1207,261,132
Bioscience Division (Los Alamos National Laboratory),CS FY27 Renewal:   Los Alamos National Laboratory- Division of Bioscience// Bin Hu,17,5,9
Burnet,CS FY28 Renewal:    Burnet Institute // Tommy Tran (IT) Site-wide // 50 Named User + SSO,9,1,8
CINVESTAV,CS FY27 Renewal:   Cinvestav,504,31,15
Candice CHUM research Center,CS FY27 Renewal:  Candice CHUM research Center- Erik Joly,960,165,107
Center for Biomedical Research (Tuskegee University),CS FY27 Renewal:  Tuskegee University Center for Biomedical Research // Temesgen Samuel,15,3,7
Center for Global Health and Infectious Diseases Research (GHIDR) (University of South Florida),"CS FY27 Renewal:    University of South Florida, Global Health and Infectious Disease Research Center",1584,372,135
Center for Immunology of Infectious diseases and Vaccines (RIVM),CS FY27 Renewal:  RIVM - Center for Immunology of Infectious Diseases and Vaccines,19,1,12
Centre Armand-Frappier Santé Biotechnologie (Institut National De La Recherche Scientifique),CS FY28 Renewal:    INRS - Isabelle Plante // Centre Armand-Frappier Santé Biotechnologie,58,10,26
Centre for Infectious Disease Control (RIVM),"CS FY27 Renewal:  Centre for Infectious Disease Research, Diagnostics and Laboratory Surveillance (IDS)(RIVM)",19,1,12
Centre for Translational Stem Cell Biology,CS FY28 Renewal:    CTSCB Hong Kong,564,107,30
Charles Perkins Centre,CS FY27 Renewal:  Centenary Institute,8,1,0
Chulabhorn Graduate Institute,CS FY27 Renewal: Chulabhorn Graduate Institute,35,4,6
Cincinnati Children's Hospital Medical Center,CS FY27 Renewal:     Cincinnati Children's Hospital Medical Center,3886,1135,266
College Of Arts And Science (Florida State University),CS FY27 Renewal:    Florida State University - College of Arts and Sciences (Multiyear 1 of 3),189,29,154
College of Health and Human Sciences (Florida State University),CS FY28 Renewal:     Florida State University - College of Health & Human Sciences,189,29,154
College of Medicine (Kaohsiung Medical University),"CS FY27 Renewal:    Kaohsiung Medical University (KMU), College of Medicine",72,4,0
Concordia University Wisconsin School of Pharmacy,CS FY27 Renewal: Concordia University of Wisconsin  - School of Pharmacy & School of Arts & Sciences - Robert Burlage,2,0,1
Czech Academy of Sciences,CS FY27 Renewal: Czech Academy of Sciences // Vaclav Paulocik // Institute of Physiology,844,130,74
Czech Academy of Sciences,CS FY28 Renewal: Czech Academy of Sciences - Institute of Experimental Botany,844,130,74
Czech Academy of Sciences - Biology Center,CS FY27 Renewal: Czech Academy of Sciences // Miroslav Obornik // Biology Center,844,130,74
Department of Biochemistry (Czech Academy of Sciences),CS FY27 Renewal:  Czech Academy of Sciences - Institute of Organic Chem and Biochem // Jiri Polach,844,130,74
Department of Biochemistry (University of Saskatchewan),"CS FY27 Renewal:    University of Saskatchewan - Department of Biochemistry, Microbiology and Immunology",962,254,214
Department of Biological Sciences (Delaware State University),CS FY27 Renewal:  Delaware State University // Department of Biological Sciences // Katarzyna Rosikon,242,19,13
Department of Biological Sciences (Indian Institute of Science),CS FY27 Renewal:  Indian Institute of Science Education and Research Mohali - Department of Biological Sciences,383,24,56
Department of Biological Sciences and Border Biomedical Research Center (The University of Texas at El Paso),CS FY27 Renewal:  UT El Paso // Dept of Biological Sciences // Charles Spencer,111,19,51
Department of Biology (Georgetown University),CS FY27 Renewal:  Georgetown University - Department of Biology,200,78,52
Department of Biology (San Diego State University),CS FY27 Renewal:  San Diego State University - Cell and Molecular Biology Program Area (Biology Department),140,33,62
Department of Biology (University of New Mexico),CS FY27 Renewal:  University of New Mexico Department of Biology,161,50,69
Department of Biomedical Engineering (University of Cincinnati),CS FY27 Renewal:  University of Cincinnati - Department of Biomedical Engineering,247,72,158
Department of Biomedical Sciences (Florida State University),CS FY27 Renewal:   Florida State University - Department of Biomedical Sciences,189,29,154
Department of Biomedical Sciences (Oregon State University),CS FY27 Renewal:   Oregon State University - Department of Biomedical Sciences // Luiz Bermudezting,534,190,131
Department of Biomedical Sciences - Rowan University,CS FY27 Renewal:  Rowan University - Cooper Medical School - Department of Biomedical Sciences,123,26,36
Department of Bioscience and Bioengineering (IIT Jodhpur),CS FY28 Renewal: IIT Jodhpur-Department of Bioscience and BioEngineering,63,2,18
Department of Cell Biology and Physiology - University of New Mexico,CS FY27 Renewal:    University of New Mexico - Dept of Cell Bio & Physiology,161,50,69
Department of Comparative Biomedical Sciences - Louisiana State University,CS FY27 Renewal:   Dep. of Comparative Biomedical Sciences (Louisiana State University),328,45,85
Department of Gastroenterology (Medizinische Hochschule Hannover),"CS FY27 Renewal:  Medizinische Hochschule Hannover - Department of Gastroenterology, Hepatology and Endocrinology",270,90,15
Department of Internal Medicine (University of Cincinnati),CS FY27 Renewal:   University of Cincinnati // Department of Internal Medicine,247,72,158
Department of Internal Medicine and Therapeutics (University of Pavia),CS FY27 Renewal:  University of Pavia - Department of Internal Medicine and Therapeutics // Laura Deborah Locati,93,10,31
Department of Medical Biotechnology (University of Siena),CS FY27 Renewal: University of Siena - Department of Medical Biotechnologies,234,13,67
Department of Medicine and Surgery (University of Perugia),CS FY27 Renewal:  University of Perugia - Dept. of Medicine and Surgery // Florinda Apone,128,6,15
Department of Molecular Biosciences (University of South Florida),CS FY27 Renewal:   University of South Florida - Department of Molecular Biosciences,1584,372,135
Department of Molecular Genetics and Microbiology - University of New Mexico,CS FY27 Renewal:   University of New Mexico - Molecular Genetics and Microbiology,161,50,69
Department of Ophthalmology - State University of New York at Buffalo,CS FY27 Renewal:    University at Buffalo - Department of Ophthalmology,1207,261,132
Department of Oral Biology - State University of New York at Buffalo,CS FY27 Renewal:    University at Buffalo - Department of Oral Biology,1207,261,132
Department of Pharmaceutical Sciences (Oregon State University),CS FY28 Renewal:   Oregon State University - Department of Pharmaceutical Sciences,534,190,131
Department of Pharmaceutical Sciences - State University of New York at Buffalo,CS FY27 Renewal:  State University of New York at Buffalo - Department of Pharmaceutical Sciences,1207,261,132
Department of Pharmacology and Toxicology - State University of New York at Buffalo,CS FY27 Renewal: SUNY Buffalo - Pharmacology and Toxicology,1207,261,132
Department of Physiology (Augusta University),CS FY27 Renewal:  Augusta University - Department of Physiology,152,56,85
Empa,CS FY27 Renewal:    Empa,27,5,10
FMP Berlin,CS FY27 Renewal:    FMP - Leibniz Research Institute for Molecular Pharmacology,15,0,4
Faculty of Biology and Environmental Protection (University of Lodz),CS FY27 Renewal:  University of Lodz - Faculty of Biology and Environmental Protection,154,29,7
Faculty of Medicine (Universität Leipzig),CS FY27 Renewal:  Universität Leipzig - Faculty of Medicine,279,43,4
Fox Chase Cancer Center - Library Services,CS FY27 Renewal:    Fox Chase Cancer Center,216,76,13
Georgia State University,CS FY27 Renewal: Georgia State University // Institute of Biomedical Sciences,121,19,35
German Aerospace Center,CS FY27 Renewal:   German Aerospace Center // Thomas Urlings,8,0,0
Hamad Bin Khalifa University,CS FY27 Renewal:   Hamad Bin Khalifa - College of Health and Life Sciences,121,13,51
High Point University,CS FY27 Renewal:  High Point University - Office of Information Technology,13,1,5
IIS Aragon,CS FY27 Renewal:  IIS Aragon // Research Groups,341,21,1
IKEM,CS FY27 Renewal:  Institute for Clinical and Experimental Medicine,10,6,2
IKP Stuttgart,CS FY28 Renewal:   IKP Stuttgart - Institute for Clinical Pharmacology,1,0,0
INL,CS FY28 Renewal: INL,32,4,6
IUF GMBH,CS FY28 Renewal:   IUF GMBH- 40 Named Users,309,49,0
Immunology Center of Georgia (Augusta University),CS FY27 Renewal:  Augusta University - Immunology Center of Georgia,152,56,85
Indian Institute of Science,CS FY27 Renewal: Indian Institute of Science //Department of Developmental Biology and Genetics,383,24,56
"Indian Institute of Technology, Kanpur",CS FY29 Renewal:   Indian Institute of Technology // Central IT,357,8,10
Institute for Tumor Immunology (Philipps Universitat Marburg),CS FY27 Renewal:   Philipps Universitat Marburg - Institute for Tumor Immunology,403,44,20
Institute of Biochemistry (University of Ljubljana),CS FY27 Renewal:   University of Ljubljana - Institute of Biochemistry,287,36,70
Institute of Biotechnology (Czech Academy of Sciences),CS FY27 Renewal:  Czech Academy of Sciences - Institute of Biotechnology,844,130,74
Institute of Microbiology (Czech Academy of Sciences),CS FY27 Renewal:   Czech Academy of Sciences - Institute of Microbiology,844,130,74
Institute of Molecular Genetics (Czech Academy of Sciences),CS FY28 Renewal:     Institute of Molecular Genetics of the Czech Academy of Sciences,844,130,74
Istituto Neurologico Carlo Besta (IRCCS),CS FY28 Renewal:     Istituto Neurologico Carlo Besta(IRCCS)//Anna Gasparello,416,25,14
Janelia Research Campus (Howard Hughes Medical Institute),CS FY27 Renewal:    Howard Hughes Medical Institute // Janelia // Erik Snapp,955,219,37
LSUHSC,CS FY27 Renewal:    LSU Health New Orleans,320,44,85
Life and Health Sciences Research Institute (Universidade do Minho),CS FY27 Renewal:  Universidade do Minho - Life and Health Sciences Research Institute // Rute Carina,321,9,35
Medical University of Innsbruck,CS FY27 Renewal:    Medical University of Innsbruck //Andi Passer,186,36,29
Medizinische Hochschule Hannover,CS FY27 Renewal:  University of Hannover - Medizinische Hochschule Hannover // Barbel Graus,270,90,15
Mondino Foundation,CS FY27 Renewal:   IRCCS Mondino Foundation,99,10,33
NIPER Hyderabad,CS FY27 Renewal:   NIPER Hyderabad - Named User License,19,2,0
"National Institute of Biological Sciences, Beijing","CS FY27 Renewal:  National Institute of Biological Sciences, Beijing- Jing Zhang",35,1,6
Neuroscience Institute (Georgia State University),CS FY27 Renewal:  Georgia State University - Neuroscience Institute // Nancy Forger,121,19,35
Neuroscience Institute (University of Capetown),CS FY27 Renewal:  University of Cape Town - Neuroscience Institute,243,23,14
Oceanographic Center (Nova Southeastern University),CS FY27 Renewal:     Nova Southeastern University - Oceanographic Campus Library,93,22,42
Opbg,CS FY27 Renewal:     Ospedale Pediatrico Bambino Gesù (Bambino Gesù Children’s Hospital) - Research Biobank,105,17,2
Oregon State University,CS FY27 Renewal: Oregon State University - Environmental & Molecular Toxicology + Food Science & Technology + COMES,534,190,131
Oregon State University - Linus Pauling Institute,CS FY27 Renewal:  Oregon State University - Linus Pauling Institute,534,190,131
Philipps-Universitat Marburg,CS FY27 Renewal: Philipps University of Marburg - Faculty of Medicine,403,44,20
Regional Centre for Biotechnology,CS FY28 Renewal:   Regional Centre for Biotechnology- 25 Named Users,68,1,35
"Research Center Borstel, Leibniz Lung Center","CS FY27 Renewal:    Research Center Borstel, Leibniz Lung Center",331,97,3
Riga Stradins University,CS FY27 Renewal:  Riga Stradins University formerly RSU - Institute of Microbiology and Virology // Agnija Vilkaite,11,1,2
Rowan University,CS FY27 Renewal: Rowan University - Department of Chemical Engineering,123,26,36
Santa Clara University,CS FY27 Renewal:   Santa Clara University - College of Arts and Sciences,15,2,4
School of Bioengineering (SRM Institute of Science and Technology),CS FY27 Renewal:  SRM Institute of Science and Technology - School of Bioengineering - Varshini Karthik,590,2,4
"School of Chemical, Biological and Environmental Engineering (Oregon State University)","CS FY27 Renewal:  Oregon State University - School of Chemical, Biological, and Environmental Engineering",534,190,131
School of Medicine (St Andrews University),CS FY27 Renewal:    University of St Andrews - School of Medicine,108,15,63
Siva,CS FY27 Renewal:    Leibniz Institute on Aging – Fritz Lipmann Institute,1193,75,15
State University of New York at Buffalo,CS FY27 Renewal: SUNY Buffalo // College of Arts and Science,1207,261,132
State University of New York at Buffalo,CS FY27 Renewal: State University of New York Buffalo - Department of Microbiology and Immunology - James Bangs,1207,261,132
Swarthmore College,CS FY27 Renewal:    Swarthmore College,6,0,2
Teagasc,CS FY27 Renewal:  Teagasc,323,26,53
The National Health Research Institutes - Taiwan,CS FY27 Renewal:    National Health Research Institutes - Library Services,34,1,15
UFZ,CS FY27 Pilot Renewal:  PILOT: UFZ Center for Environmental Research - Sitewide // Thomas Wieser IT,332,24,20
UKE Hamburg,CS FY27 Renewal: UKE Hamburg - iPrime,400,124,45
UKE Hamburg,CS FY28 Renewal: UKE Hamburg - Multiyear Deal 2 of 2,400,124,45
University del Piemonte Orientale,CS FY27 Renewal:   University of Eastern Piedmont,233,6,117
University of Eastern Finland,CS FY27 Renewal:    University of Eastern Finland,649,97,9
University of Ljubljana,CS FY28 Renewal:  University of Ljubljana-Biotechnical faculty//Meta Sterniša,287,36,70
University of Puerto Rico - Biomedical Sciences,CS FY27 Renewal: University of Puerto Rico - Biomedical Sciences,268,46,131
University of Saskatchewan,CS FY27 Renewal: University of Saskatchewan // College of Dentistry,962,254,214
University of Saskatchewan,CS FY28 Renewal: University of Saskatchewan - College of Ag,962,254,214
University of South Florida,CS FY27 Renewal: University of South Florida // Sitewide,1584,372,135
University of Southampton,CS FY27 Renewal: University of Southampton - School of Clinical & Experimental Sciences,317,53,70
University of Southampton,CS FY27 Renewal: University of Southampton - School of Human Development and Health,317,53,70
Vaccine and Infectious Disease Organization (University of Saskatchewan),CS FY27 Renewal:    University of Saskatchewan - Vaccine and Infectious Disease Organization (VIDO),962,254,214
Vascular Biology Center (Augusta University),CS FY27 Renewal: Augusta University - Vascular Biology Center,152,56,85
Versiti,CS FY28 Renewal:    Versiti - Blood Center of Wisconsin,12,0,4
Vet Med Department of Pathobiological Sciences (Louisiana State University),CS FY27 Renewal:    Louisiana State University - Vet Med Department of Pathobiological Sciences,320,44,85
iteso,CS FY28 Renewal: ITESO,33,5,0
